,Country,Last,Previous,Reference
0,Afghanistan,9.6,9.39,Dec/18
1,Nigeria,8.6,8.66,Dec/18
2,Pakistan,7.89,8.18,Dec/18
3,India,7.52,7.57,Dec/18
4,Philippines,7.14,7.18,Dec/18
5,Egypt,6.79,7.35,Dec/18
6,Mali,6.65,6.02,Dec/18
7,Central African Republic,6.62,6.72,Dec/18
8,South Sudan,6.32,6.76,Dec/18
9,Colombia,5.91,5.61,Dec/18
10,Kenya,5.76,6.11,Dec/18
11,Niger,5.6,6,Dec/18
12,Mozambique,5.54,4.58,Dec/18
13,Burkina Faso,5.42,4.81,Dec/18
14,Ethiopia,5.35,5.63,Dec/18
15,Bangladesh,5.21,5.7,Dec/18
16,Burundi,5.1,5.32,Dec/18
17,Indonesia,5.07,4.54,Dec/18
18,Russia,4.9,5.23,Dec/18
19,Iran,4.72,4.4,Dec/18
20,South Africa,4.51,4.26,Dec/18
21,Lebanon,4.39,5.15,Dec/18
22,Greece,4.17,4.29,Dec/18
23,Venezuela,4.1,3.67,Dec/18
24,Uganda,3.96,3.93,Dec/18
25,Tunisia,3.94,4.09,Dec/18
26,Belgium,3.64,4.06,Dec/18
27,Sri Lanka,3.57,4.05,Dec/18
28,Algeria,3.41,3.76,Dec/18
29,Spain,3.35,4.02,Dec/18
30,Bahrain,3.2,3.88,Dec/18
31,Italy,3.11,2.74,Dec/18
32,Nicaragua,2.95,0.75,Dec/18
33,Peru,2.84,2.95,Dec/18
34,Ireland,2.69,3.05,Dec/18
35,Australia,2.65,2.83,Dec/18
36,Brazil,2.53,1.39,Dec/18
37,Kuwait,2.49,3.13,Dec/18
38,Netherlands,2.35,1.96,Dec/18
39,Kosovo,2.26,2.69,Dec/18
40,Finland,2.03,2.5,Dec/18
41,Argentina,1.68,1.68,Dec/18
42,Kazakhstan,1.57,2.23,Dec/18
43,Kyrgyzstan,1.47,1.72,Dec/18
44,Papua New Guinea,1.36,2.04,Dec/18
45,Guatemala,1.33,0.21,Dec/18
46,Senegal,1.19,1.01,Dec/18
47,Laos,1.03,1.68,Dec/18
48,Montenegro,1,0.04,Dec/18
49,Honduras,0.99,1.71,Dec/18
50,Denmark,0.96,0.82,Dec/18
51,Azerbaijan,0.7,0.96,Dec/18
52,Gabon,0.55,1.2,Dec/18
53,Jamaica,0.47,1.09,Dec/18
54,Sierra Leone,0.46,1.07,Dec/18
55,Cyprus,0.42,1.21,Dec/18
56,Djibouti,0.32,0.71,Dec/18
57,Macedonia,0.3,0.65,Dec/18
58,Latvia,0.23,0.46,Dec/18
59,Dominican Republic,0.18,0.38,Dec/18
60,Uruguay,0.17,0.34,Dec/18
61,Estonia,0.12,0.23,Dec/18
62,Serbia,0.12,0.23,Dec/18
63,Lesotho,0.1,0.19,Dec/18
64,Slovakia,0.06,0.12,Dec/18
